publish_date,outlet_id,conflict_id,death_reporting_count,human_rights_violations_count,id,death_report_percentage,hr_violation_percentage,article_count,normalized_death_report,normalized_hr_violation
2006-07-13 00:00:00,76,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2006-07-25 00:00:00,26,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2006-08-03 00:00:00,85,14,0.0,5.0,1,0.0,500.0,1,0.0,5.0
2006-08-11 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2006-08-17 00:00:00,39,14,2.0,0.0,2,100.0,0.0,2,1.0,0.0
2006-10-11 00:00:00,76,1,2.0,0.0,1,200.0,0.0,1,2.0,0.0
2006-10-11 00:00:00,76,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2006-11-02 00:00:00,39,14,3.0,0.0,1,300.0,0.0,1,3.0,0.0
2006-11-16 00:00:00,39,14,3.0,0.0,1,300.0,0.0,1,3.0,0.0
2006-12-17 00:00:00,43,14,3.0,0.0,1,300.0,0.0,1,3.0,0.0
2007-01-25 00:00:00,7,14,5.0,4.0,1,500.0,400.0,1,5.0,4.0
2007-02-14 00:00:00,106,14,1.0,3.0,1,100.0,300.0,1,1.0,3.0
2007-05-01 00:00:00,85,14,3.0,3.0,1,300.0,300.0,1,3.0,3.0
2007-05-24 00:00:00,39,14,0.0,1.0,1,0.0,100.0,1,0.0,1.0
2007-06-15 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2007-07-24 00:00:00,67,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2007-07-27 00:00:00,75,14,6.0,0.0,1,600.0,0.0,1,6.0,0.0
2007-08-30 00:00:00,39,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2007-09-12 00:00:00,15,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2007-10-08 00:00:00,85,14,4.0,1.0,1,400.0,100.0,1,4.0,1.0
2007-11-06 00:00:00,76,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-01-04,103,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-02-14 00:00:00,103,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2008-02-22 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-03-20 00:00:00,76,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2008-04-02 00:00:00,85,14,1.0,2.0,1,100.0,200.0,1,1.0,2.0
2008-04-10 00:00:00,76,14,0.0,2.0,1,0.0,200.0,1,0.0,2.0
2008-04-18 00:00:00,106,14,5.0,12.0,1,500.0,1200.0,1,5.0,12.0
2008-05-01 00:00:00,47,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-05-06 00:00:00,85,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2008-05-16 00:00:00,12,14,2.0,1.0,1,200.0,100.0,1,2.0,1.0
2008-05-20 00:00:00,60,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-05-30 00:00:00,67,1,0.0,2.0,1,0.0,200.0,1,0.0,2.0
2008-06-22 00:00:00,80,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-06-23 00:00:00,8,1,3.0,0.0,1,300.0,0.0,1,3.0,0.0
2008-07-10 00:00:00,103,1,2.0,0.0,1,200.0,0.0,1,2.0,0.0
2008-07-22 00:00:00,60,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-08-23 00:00:00,67,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-09-12 00:00:00,42,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-10-13 00:00:00,67,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-10-14 00:00:00,83,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2008-11-05 00:00:00,103,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-01-01 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-01-05 00:00:00,18,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2009-01-05 00:00:00,29,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2009-01-07 00:00:00,9,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-01-08 00:00:00,39,14,4.0,0.0,1,400.0,0.0,4,1.0,0.0
2009-01-08 00:00:00,87,14,0.0,0.0,1,0.0,0.0,4,0.0,0.0
2009-01-08 00:00:00,103,14,0.0,0.0,1,0.0,0.0,4,0.0,0.0
2009-01-08 00:00:00,106,14,11.0,1.0,1,1100.0,100.0,4,2.75,0.25
2009-01-09 00:00:00,56,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-01-10 00:00:00,44,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-01-12 00:00:00,8,14,3.0,0.0,1,300.0,0.0,1,3.0,0.0
2009-01-14 00:00:00,22,14,0.0,3.0,1,0.0,300.0,1,0.0,3.0
2009-01-15 00:00:00,35,14,2.0,2.0,1,200.0,200.0,1,2.0,2.0
2009-01-18 00:00:00,22,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-01-19 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-02-10 00:00:00,57,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-02-10 00:00:00,57,14,17.0,11.0,1,1700.0,1100.0,1,17.0,11.0
2009-02-12 00:00:00,106,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2009-02-16 00:00:00,48,14,14.0,5.0,1,1400.0,500.0,1,14.0,5.0
2009-02-26 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-03-01 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-03-19 00:00:00,106,14,2.0,1.0,1,200.0,100.0,1,2.0,1.0
2009-04-08 00:00:00,52,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-05-15 00:00:00,75,14,0.0,8.0,1,0.0,800.0,1,0.0,8.0
2009-05-18 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-05-27 00:00:00,76,14,25.0,0.0,1,2500.0,0.0,1,25.0,0.0
2009-05-30 00:00:00,15,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-06-03 00:00:00,106,14,29.0,3.0,1,2900.0,300.0,1,29.0,3.0
2009-06-30 00:00:00,103,1,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2009-07-02 00:00:00,103,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2009-07-16 00:00:00,103,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-07-17 00:00:00,8,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-07-22 00:00:00,75,14,1.0,1.0,1,100.0,100.0,1,1.0,1.0
2009-08-04 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-08-05 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-08-09 00:00:00,64,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-08-18 00:00:00,85,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-08-18 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-08-24 00:00:00,106,14,6.0,3.0,1,600.0,300.0,1,6.0,3.0
2009-09-09 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-09-10 00:00:00,39,14,7.0,0.0,1,700.0,0.0,1,7.0,0.0
2009-09-11 00:00:00,83,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-09-17 00:00:00,86,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-09-24 00:00:00,39,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-10-22 00:00:00,15,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-11-29 00:00:00,21,1,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2009-12-06 00:00:00,21,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-12-11 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2009-12-22 00:00:00,103,14,3.0,3.0,1,300.0,300.0,1,3.0,3.0
2009-12-29 00:00:00,70,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-02-18 00:00:00,48,14,2.0,0.0,2,100.0,0.0,2,1.0,0.0
2010-02-22 00:00:00,48,14,8.0,0.0,1,800.0,0.0,1,8.0,0.0
2010-02-23 00:00:00,103,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-02-28 00:00:00,58,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-03-05,64,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-10 00:00:00,47,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-14 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-15 00:00:00,85,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-16 00:00:00,12,14,0.0,1.0,1,0.0,100.0,1,0.0,1.0
2010-03-21 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-22 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-26 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-03-31 00:00:00,77,14,0.0,2.0,1,0.0,200.0,1,0.0,2.0
2010-04-03 00:00:00,65,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-04-08 00:00:00,64,1,1.0,1.0,1,100.0,100.0,1,1.0,1.0
2010-04-09 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-04-10 00:00:00,53,1,2.0,0.0,4,50.0,0.0,4,0.5,0.0
2010-04-11 00:00:00,53,1,2.0,16.0,2,100.0,800.0,2,1.0,8.0
2010-04-16 00:00:00,70,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-04-21 00:00:00,7,14,2.0,0.0,1,200.0,0.0,1,2.0,0.0
2010-04-26 00:00:00,7,14,4.0,0.0,1,400.0,0.0,1,4.0,0.0
2010-04-30 00:00:00,67,1,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-05-14 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-05-25 00:00:00,19,14,4.0,1.0,1,400.0,100.0,1,4.0,1.0
2010-05-26 00:00:00,77,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-06-07 00:00:00,7,14,0.0,2.0,1,0.0,200.0,1,0.0,2.0
2010-06-14 00:00:00,48,14,3.0,6.0,1,300.0,600.0,1,3.0,6.0
2010-06-18 00:00:00,56,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-06-18 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-07-08 00:00:00,39,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2010-07-08 00:00:00,76,14,0.0,15.0,1,0.0,1500.0,2,0.0,7.5
2010-07-20 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-07-21 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-07-30 00:00:00,85,1,16.0,1.0,1,1600.0,100.0,1,16.0,1.0
2010-08-03 00:00:00,48,14,7.0,1.0,1,700.0,100.0,1,7.0,1.0
2010-08-28 00:00:00,37,1,1.0,2.0,1,100.0,200.0,1,1.0,2.0
2010-08-29 00:00:00,85,14,14.0,2.0,1,1400.0,200.0,1,14.0,2.0
2010-09-02 00:00:00,21,14,0.0,0.0,1,0.0,0.0,3,0.0,0.0
2010-09-02 00:00:00,48,14,3.0,0.0,1,300.0,0.0,3,1.0,0.0
2010-09-02 00:00:00,75,14,0.0,0.0,1,0.0,0.0,3,0.0,0.0
2010-09-25 00:00:00,47,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-09-27 00:00:00,103,14,3.0,1.0,1,300.0,100.0,1,3.0,1.0
2010-10-11 00:00:00,48,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-10-17 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-10-18 00:00:00,77,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-11-04 00:00:00,106,14,3.0,1.0,1,300.0,100.0,1,3.0,1.0
2010-11-08 00:00:00,35,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2010-11-18 00:00:00,106,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-11-20 00:00:00,1,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-11-25 00:00:00,1,14,2.0,1.0,1,200.0,100.0,1,2.0,1.0
2010-12-01 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-12-03 00:00:00,76,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-12-16 00:00:00,77,14,0.0,6.0,1,0.0,600.0,1,0.0,6.0
2010-12-17 00:00:00,49,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2010-12-25 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-01-01 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-01-20 00:00:00,39,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-02-01 00:00:00,75,14,8.0,2.0,1,800.0,200.0,1,8.0,2.0
2011-03-15 00:00:00,96,14,3.0,1.0,1,300.0,100.0,1,3.0,1.0
2011-03-16 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-03-18 00:00:00,7,1,2.0,0.0,1,200.0,0.0,2,1.0,0.0
2011-03-18 00:00:00,49,1,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2011-03-22 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-04-10 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-04-15 00:00:00,48,14,2.0,0.0,1,200.0,0.0,1,2.0,0.0
2011-04-24 00:00:00,48,14,5.0,0.0,1,500.0,0.0,1,5.0,0.0
2011-04-28 00:00:00,48,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2011-05-06 00:00:00,76,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-05-18 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-05-23 00:00:00,22,14,7.0,1.0,1,700.0,100.0,1,7.0,1.0
2011-05-26 00:00:00,24,14,0.0,1.0,1,0.0,100.0,2,0.0,0.5
2011-05-26 00:00:00,44,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2011-05-27 00:00:00,12,14,3.0,2.0,1,300.0,200.0,1,3.0,2.0
2011-06-02 00:00:00,48,14,2.0,0.0,1,200.0,0.0,1,2.0,0.0
2011-06-10 00:00:00,77,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-06-16 00:00:00,7,14,3.0,0.0,1,300.0,0.0,1,3.0,0.0
2011-07-14 00:00:00,35,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2011-07-23 00:00:00,56,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-08-19 00:00:00,75,14,0.0,1.0,1,0.0,100.0,1,0.0,1.0
2011-08-20 00:00:00,52,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-08-30 00:00:00,67,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-09-01 00:00:00,75,14,12.0,2.0,2,600.0,100.0,2,6.0,1.0
2011-09-03 00:00:00,67,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-09-06 00:00:00,103,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-09-07 00:00:00,103,1,4.0,2.0,1,400.0,200.0,1,4.0,2.0
2011-09-13 00:00:00,67,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-09-14 00:00:00,77,14,7.0,1.0,1,700.0,100.0,1,7.0,1.0
2011-09-15 00:00:00,47,14,1.0,0.0,1,100.0,0.0,1,1.0,0.0
2011-09-19 00:00:00,75,14,3.0,1.0,1,300.0,100.0,1,3.0,1.0
2011-09-21 00:00:00,4,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-09-23 00:00:00,76,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2011-09-23 00:00:00,106,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2011-10-30 00:00:00,14,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-10-31 00:00:00,48,14,1.0,4.0,1,100.0,400.0,1,1.0,4.0
2011-11-01 00:00:00,75,14,4.0,0.0,1,400.0,0.0,2,2.0,0.0
2011-11-01 00:00:00,76,14,0.0,0.0,1,0.0,0.0,2,0.0,0.0
2011-11-16 00:00:00,48,14,1.0,2.0,1,100.0,200.0,1,1.0,2.0
2011-12-09 00:00:00,12,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-12-10 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-12-11 00:00:00,75,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-12-13 00:00:00,76,14,3.0,1.0,1,300.0,100.0,1,3.0,1.0
2011-12-14 00:00:00,7,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
2011-12-16 00:00:00,35,14,5.0,0.0,1,500.0,0.0,1,5.0,0.0
2011-12-29 00:00:00,48,14,3.0,2.0,1,300.0,200.0,1,3.0,2.0
2012-01-18 00:00:00,47,14,1.0,2.0,1,100.0,200.0,1,1.0,2.0
2012-02-13 00:00:00,48,14,0.0,0.0,1,0.0,0.0,1,0.0,0.0
